,MDDV,MDDF,MDGV,MDGF,VMDV,VMDF,VMGV,VMGF,RTDV,RTDF,RTGV,RTGF
Essai37,1.0166666666666666,,0.8666666666666667,,2280.0,,2580.0,,0.5666666666666667,,0.4166666666666667,
Essai38,0.9,,0.9333333333333333,,2460.0,,2700.0,,0.48333333333333334,,0.4166666666666667,
Essai39,1.0833333333333333,,0.9,,7320.0,,2280.0,,0.4166666666666667,,0.43333333333333335,
Essai40,1.05,,0.8833333333333333,,4800.0,,3180.0,,0.55,,0.5166666666666667,
Essai41,1.7333333333333334,,0.9166666666666666,,3720.0,,2220.0,,1.0833333333333333,,0.4666666666666667,
Essai42,0.9333333333333333,,0.9666666666666667,,3780.0,,2340.0,,0.43333333333333335,,0.4666666666666667,
Essai43,0.95,,0.9,,4740.0,,2880.0,,0.55,,0.4,
Essai44,0.8,,1.2,,4620.0,,5280.0,,0.4166666666666667,,0.75,
Essai45,0.85,,0.8333333333333334,,3180.0,,3360.0,,0.4166666666666667,,0.4166666666666667,
Essai46,0.9666666666666667,,1.0,,5520.0,,4020.0,,0.48333333333333334,,0.45,
Essai47,0.9666666666666667,,1.1666666666666667,,2640.0,,3300.0,,0.5,,0.45,
Essai48,1.05,,0.9,,2580.0,,3000.0,,0.31666666666666665,,0.45,
Essai49,0.9666666666666667,,0.9833333333333333,,3000.0,,2580.0,,0.43333333333333335,,0.55,
Essai50,0.9333333333333333,,1.0,,1800.0,,5700.0,,0.4666666666666667,,0.36666666666666664,
Essai51,0.8166666666666667,,0.9333333333333333,,7020.0,,2340.0,,0.43333333333333335,,0.43333333333333335,
Essai52,0.85,,1.2833333333333334,,5760.0,,2520.0,,0.43333333333333335,,0.8,
Essai53,0.9,,1.05,,2460.0,,4620.0,,0.43333333333333335,,0.4666666666666667,
Essai54,0.9,,0.9666666666666667,,3960.0,,6780.0,,0.3333333333333333,,0.5,
Essai55,0.95,,1.0833333333333333,,4140.0,,3120.0,,0.45,,0.5333333333333333,
Essai56,0.8666666666666667,,0.9,,3720.0,,2460.0,,0.4,,0.43333333333333335,
Essai57,1.1,,0.8166666666666667,,6060.0,,4200.0,,0.5666666666666667,,0.4166666666666667,
Essai58,0.8166666666666667,,0.8166666666666667,,3480.0,,3780.0,,0.36666666666666664,,0.43333333333333335,
Essai59,0.85,,0.9833333333333333,,4080.0,,6180.0,,0.4166666666666667,,0.48333333333333334,
